id;lat;long
0;-22.9809491;-43.2068586
1;-22.981045;-43.2047561
2;-22.9811603;-43.202639
3;-22.9812671;-43.2005072
4;-22.9814703;-43.2069254
5;-22.981584;-43.2047923
6;-22.9816651;-43.2026731
7;-22.9823132;-43.2005985
8;-22.9819971;-43.2069634
9;-22.9820994;-43.2048317
10;-22.982206;-43.2027095
11;-22.9825268;-43.2069913
12;-22.9826381;-43.2048593
13;-22.9832869;-43.2027824
14;-22.9833811;-43.2006642
15;-22.9804502;-43.2025921
16;-22.9799521;-43.2008934
17;-22.9795532;-43.2025307
18;-22.9801679;-43.2047082
19;-22.9843556;-43.2028547
20;-22.9844646;-43.2007365
21;-22.9834935;-43.1985303
22;-22.9837399;-43.1967824
23;-22.9852097;-43.2071628
24;-22.9853244;-43.2050233
25;-22.985423;-43.2029177
26;-22.9855586;-43.2008071
27;-22.9863404;-43.2072504
28;-22.9864467;-43.2051772
29;-22.9865611;-43.2030553
30;-22.9866732;-43.2008759
31;-22.9867841;-43.1987442
32;-22.9813286;-43.1991709
33;-22.9823961;-43.1991832
34;-22.9787363;-43.1997027
35;-22.9811341;-43.2133028
36;-22.9812353;-43.2111597
37;-22.9813498;-43.2090298
38;-22.98165;-43.2133493
39;-22.9817702;-43.211196
40;-22.981876;-43.209065
41;-22.9821954;-43.2133612
42;-22.982305;-43.211239
43;-22.9824164;-43.2091058
44;-22.9827181;-43.2134
45;-22.9828334;-43.2112609
46;-22.9829363;-43.2091512
47;-22.9837922;-43.2134632
48;-22.9838886;-43.2113268
49;-22.9840115;-43.2092282
50;-22.9848733;-43.2135157
51;-22.9849728;-43.2113944
52;-22.9850936;-43.2093023
53;-22.9859937;-43.2135764
54;-22.9861015;-43.2114642
55;-22.9862279;-43.2093612
56;-22.9805408;-43.212763
57;-22.9837207;-43.2144921
58;-22.9826329;-43.2140914
59;-22.9821218;-43.2138674
60;-22.9816482;-43.2136943
61;-22.981081;-43.2134352
62;-22.9806204;-43.2111792
63;-22.9807392;-43.2089714
64;-22.9837404;-43.214208
65;-22.9848306;-43.2142818
66;-22.9860182;-43.2143563
67;-22.9237464;-43.1775684
68;-22.9249087;-43.179602
69;-22.9240681;-43.181524
70;-22.9313717;-43.1776357
71;-22.9297715;-43.1775398
72;-22.9282845;-43.1770447
73;-22.9245337;-43.1768568
74;-22.921972;-43.1770849
75;-22.9235834;-43.1774062
76;-22.9254942;-43.1731037
77;-22.9259998;-43.1793536
78;-22.9268376;-43.1793384
79;-22.9253226;-43.1785296
80;-22.9313954;-43.1793857
81;-22.931292;-43.1776393
82;-22.9282924;-43.1793004
83;-22.9288376;-43.1772102
84;-22.9317361;-43.1824145
85;-22.9328757;-43.1788834
86;-22.9306733;-43.1791682
87;-22.9323715;-43.1821993
88;-22.9322175;-43.1817718
89;-22.932959;-43.1772599
90;-22.9324829;-43.1775367
91;-22.9327673;-43.177876
92;-22.9350312;-43.1751189
93;-22.93229;-43.1775468
94;-22.9311577;-43.1759642
95;-22.9300225;-43.1758047
96;-22.9333241;-43.1813083
97;-22.9333906;-43.185601
98;-22.9354116;-43.186531
99;-22.9345609;-43.1876096
100;-22.9357909;-43.18405
101;-22.9360435;-43.1806593
102;-22.9355446;-43.1811269
103;-22.9492898;-43.1842331
104;-22.9460827;-43.1841789
105;-22.9438391;-43.1837239
106;-22.9353301;-43.1889644
107;-22.9367231;-43.1879687
108;-22.9364267;-43.1900857
109;-22.9357666;-43.1937745
110;-22.9364851;-43.1901128
111;-22.9873863;-43.228692
112;-22.9858984;-43.2246683
113;-22.9854371;-43.2228537
114;-22.9852622;-43.2220614
115;-22.9851306;-43.221332
116;-22.9850207;-43.22053
117;-22.986614;-43.2295096
118;-22.9849177;-43.2197774
119;-22.9865109;-43.229276
120;-22.984838;-43.2187329
121;-22.9847658;-43.2176326
122;-22.9856331;-43.2273073
123;-22.9847306;-43.2168151
124;-22.9848391;-43.2250261
125;-22.984383;-43.2231212
126;-22.9847879;-43.2148949
127;-22.9842034;-43.2223029
128;-22.9839226;-43.220712
129;-22.9838357;-43.2198918
130;-22.9837428;-43.2188514
131;-22.983686;-43.2177933
132;-22.9836725;-43.2169198
133;-22.9788079;-43.2180228
134;-22.9804124;-43.2149148
135;-22.9704649;-43.2175608
136;-22.9762544;-43.2190311
137;-22.9772565;-43.2188711
138;-22.9785054;-43.2181951
139;-22.9746075;-43.2008007
140;-22.976284;-43.1996279
141;-22.9786247;-43.1998641
142;-22.9805075;-43.2065704
143;-22.9764221;-43.2188642
144;-22.9638418;-43.2144233
145;-22.9630254;-43.2163414
146;-22.9619768;-43.2175245
147;-22.8118533;-43.2880553
148;-22.8168474;-43.2878293
149;-22.8174856;-43.287755
150;-22.8165824;-43.2892526
151;-22.8179414;-43.2886715
152;-22.8179382;-43.2880512
153;-22.8178242;-43.2874231
154;-22.8181894;-43.2861708
155;-22.8155198;-43.2885146
156;-22.8160912;-43.2881687
157;-22.8986324;-43.2186357
158;-22.8433679;-43.2395454
159;-22.8595832;-43.2377497
160;-22.8947071;-43.219794
161;-22.8826161;-43.2295642
162;-22.8651673;-43.2334252
163;-22.8108568;-43.2885763
164;-22.8111727;-43.2884449
165;-22.8107585;-43.2882496
166;-22.8103609;-43.2883545
167;-22.8123451;-43.2881728
168;-22.8132514;-43.2878374
169;-22.8151427;-43.2904243
170;-22.9059674;-43.2136002
171;-22.8951518;-43.219509
172;-22.9142042;-43.2100486
173;-22.9248401;-43.2087082
174;-22.9317125;-43.2086331
175;-22.9323474;-43.2086778
176;-22.9356525;-43.2127448
177;-22.9359407;-43.2135918
178;-22.9345301;-43.2106351
179;-22.9332524;-43.2092369
180;-22.9346445;-43.2097946
181;-22.9397683;-43.2025096
182;-22.9396876;-43.2023424
183;-22.9399126;-43.201576
184;-22.9402605;-43.1997925
185;-22.9404942;-43.1979959
186;-22.9614927;-43.2041154
187;-22.9632722;-43.2038413
188;-22.9621893;-43.2044951
189;-22.9618177;-43.2051877
190;-22.9861173;-43.2151677
191;-22.9771016;-43.1984286
192;-22.9667396;-43.203553
193;-22.9632172;-43.2127196
194;-22.9676965;-43.2175118
195;-22.9766991;-43.1948539
196;-22.9847168;-43.2160456
197;-22.9836806;-43.2157181
198;-22.9803248;-43.2145445
199;-22.9862072;-43.2159542
200;-22.9874147;-43.1959704
201;-22.9868499;-43.1978878
202;-22.9847169;-43.1951544
203;-22.9839146;-43.1941326
204;-22.9878797;-43.1945812
205;-22.9871372;-43.1916004
206;-22.9818428;-43.1947614
207;-22.9772769;-43.1991246
208;-22.9864479;-43.1963002
209;-22.9859699;-43.1967956
210;-22.9857245;-43.1965041
211;-22.952377;-43.1870284
212;-22.9538221;-43.1859437
213;-22.9495847;-43.1888451
214;-22.9460008;-43.1882134
215;-22.9490962;-43.1824898
216;-22.949431;-43.1857683
217;-22.9495131;-43.1873672
218;-22.9497525;-43.1897309
219;-22.9503028;-43.1920302
220;-22.9505474;-43.192852
221;-22.9511706;-43.1941814
222;-22.9525759;-43.1963715
223;-22.9462002;-43.18685
224;-22.9463664;-43.1856626
225;-22.9526218;-43.1877325
226;-22.956291;-43.1860295
227;-22.9543812;-43.1867851
228;-22.9525391;-43.1874769
229;-22.9559886;-43.1972302
230;-22.9556275;-43.1962014
231;-22.9552819;-43.1952629
232;-22.9544286;-43.1928771
233;-22.9537331;-43.1909085
234;-22.9533408;-43.1897912
235;-22.9529284;-43.1886173
236;-22.9513398;-43.184161
237;-22.9548813;-43.1878768
238;-22.9566899;-43.1872025
239;-22.9521557;-43.1839095
240;-22.9580819;-43.1914178
241;-22.9559155;-43.1850641
242;-22.9522945;-43.1824554
243;-22.9524679;-43.1936693
244;-22.9567082;-43.1919461
245;-22.958265;-43.1913766
